utgdag,kaupverd,nuvirdi,ist120,ibm2,ib2m2,ib3m2,rism2,bilskurm2,geymm2,svalm2,haednr,fjibmhl,top_floor,two_storey,storeys_3,lyftuhus,age_studull,bath_fixtures,fjbilsk,lodpflm,innig_factor,nybygging,fjarmalastofnunselur,hverfi,gata
9/24/2016,31300,31221,1200,"113,6",0,0,0,0,"7,9","12,6",3,6,0,0,0,0,45,3,0,216,1,0,0,601,0
10/2/2016,30500,30202,1200,125,0,0,0,0,0,"11,7",2,6,0,0,0,0,45,2,0,272,1,0,0,601,0
10/1/2016,28500,28476,1200,"91,3",0,0,0,0,"6,5","9,2",1,6,0,0,0,0,45,2,0,259,1,0,0,601,0
9/29/2016,23300,23291,1200,"65,9",0,0,0,0,"6,7","12,1",3,6,0,0,0,0,45,3,0,131,1,0,1,601,0
10/2/2016,33100,32893,1200,"108,9",0,0,0,0,"6,9","5,4",3,6,0,0,0,0,44,3,0,172,1,0,0,601,0
10/6/2016,32800,32786,1200,109,0,0,0,0,"8,2","6,2",3,8,0,0,0,0,42,2,0,152,1,0,0,601,0
10/9/2016,27500,27459,1200,"92,8",0,0,0,0,"6,5",11,2,6,0,0,0,0,44,2,0,151,1,0,0,601,0
10/8/2016,27900,27871,1200,"86,5",0,0,0,0,"6,9","12,6",3,6,0,0,0,0,44,3,0,135,1,0,0,601,0
10/27/2016,28500,28405,1200,"97,1",0,0,0,0,"4,9","10,4",3,9,0,0,0,0,45,2,0,239,1,0,0,601,0
10/28/2016,31500,31438,1200,"97,6",0,0,0,0,"12,2","8,7",1,24,0,0,0,0,45,2,0,"194,6",1,0,0,601,0
10/27/2016,32500,32482,1200,"103,8",0,0,0,0,"7,4","5,6",3,9,0,0,0,0,45,2,0,279,1,0,0,601,0
11/9/2016,25500,25429,1200,65,0,0,0,0,"2,7",0,6,67,0,0,0,1,45,2,0,"71,5",1,0,0,601,0
11/6/2016,34200,33860,1223,"73,4",0,0,0,0,0,"5,7",3,59,0,0,0,1,27,2,0,138,1,0,0,601,0
11/9/2016,40600,40592,1200,"133,6",0,0,0,0,0,"17,2",2,12,0,0,0,0,44,2,0,277,"1,15",0,0,601,0
11/18/2016,35500,34605,1223,"71,5",0,0,0,0,0,"5,7",4,59,1,0,0,1,27,2,0,135,"1,15",0,0,601,0
11/25/2016,30500,30486,1200,"105,5",0,0,0,0,0,"9,6",4,8,0,0,0,0,43,2,0,223,"1,19",0,0,601,0
11/18/2016,27000,26960,1200,"92,8",0,0,0,0,9,11,1,6,0,0,0,0,44,2,0,153,1,0,1,601,0
11/27/2016,24000,23857,1200,69,0,0,0,0,"6,6","12,2",2,24,0,0,0,0,45,2,0,"140,5",1,0,0,601,0
12/9/2016,31500,31446,1200,"94,4",0,0,0,0,0,"6,3",1,9,0,0,0,0,45,2,0,258,"1,11",0,0,601,0
12/11/2016,31000,30966,1200,"96,1",0,0,0,0,"7,9","9,6",3,9,0,0,0,0,40,3,0,415,1,0,0,601,0
12/15/2016,28000,27979,1200,"112,7",0,0,0,0,"5,8","5,9",3,9,0,0,0,0,45,2,0,256,"1,09",0,0,601,0
12/23/2016,41500,41456,1200,"138,4",0,0,0,0,"7,4",15,2,9,0,0,0,0,45,2,0,365,1,0,0,601,0
12/25/2016,31000,30942,1200,"73,1",0,0,0,0,"5,4","5,9",2,9,0,0,0,0,45,2,0,161,1,0,0,601,0
1/1/2017,29450,29423,1200,"76,3",0,0,0,0,"3,2",0,2,67,0,0,0,1,45,2,0,"78,7",1,0,0,601,0
1/6/2017,36000,35993,1200,"91,9",0,0,"5,7",0,"5,8","5,8",3,6,0,0,0,0,28,2,0,189,1,0,0,601,0
1/15/2017,34000,33989,1200,"107,9",0,0,0,0,"6,7","9,7",3,8,0,0,0,0,43,3,0,199,1,0,0,601,0
1/14/2017,34000,33968,1200,"107,9",0,0,0,25,0,"9,4",4,8,0,0,0,0,43,2,0,214,1,0,0,601,0
1/27/2017,32000,31953,1200,"96,9",0,0,0,0,"10,5","6,8",2,6,0,0,0,0,45,2,0,222,1,0,0,601,0
1/28/2017,37800,37765,1200,"120,6",0,0,0,"24,2","7,6","12,1",4,8,0,0,0,0,41,3,0,245,1,0,0,601,0
2/4/2017,38250,37923,1200,"120,2",0,0,0,0,"12,8","6,2",1,8,0,0,0,0,43,2,0,169,1,0,0,601,0
