utgdag,kaupverd,nuvirdi,ist120,ibm2,ib2m2,ib3m2,rism2,bilskurm2,geymm2,two_livunits,two_storey,storeys_3,age_studull,not_concrete,stud1house,bath_fixtures,fjbilsk,lodpflm,landratio,innig_factor,utig_factor,fjarmalastofnunselur,hverfi,gata
7/23/2016,45500,45409,1125,"156,2","33,6","53,7",0,"47,1",0,0,0,1,40,1,1,3,0,486,"0,764","0,92","0,91",0,320,0
7/3/2016,42200,42169,1121,"126,6",0,0,0,0,0,0,1,0,40,1,1,2,0,239,"0,376","1,15",1,0,320,15
8/5/2016,42000,41980,1125,152,0,0,0,0,0,0,1,0,40,0,1,3,0,401,"0,631","0,89","0,94",0,320,0
8/14/2016,56000,55935,1125,"149,2",0,0,0,"28,4",0,0,1,0,23,0,1,4,0,342,"0,538","1,15",1,0,320,0
8/17/2016,25900,25731,1126,63,63,0,0,0,0,0,0,0,40,0,1,2,0,266,"0,418","1,15",1,0,320,0
8/19/2016,46500,46500,1125,"118,5",0,0,"8,4","36,3","5,2",0,1,0,40,1,1,2,0,416,"0,654",1,1,0,320,0
8/28/2016,68000,66622,1111,"181,1","65,4","50,2",0,56,"30,1",0,0,1,40,0,"1,052",4,0,1337,"2,102",1,"0,96",0,320,0
8/27/2016,38400,38106,1126,"105,4","105,4",0,0,0,0,0,0,0,32,0,1,2,0,307,"0,483","0,85","1,11",0,320,15
8/27/2016,45000,44786,1111,"105,6",0,0,0,0,0,0,0,0,40,1,"1,032",2,0,840,"1,321","1,15",1,0,320,0
9/1/2016,46800,46714,1126,"130,2",0,0,0,"34,2",0,0,1,0,40,0,1,4,0,"267,6","0,421",1,1,0,320,0
9/4/2016,39000,38850,1126,"103,3","103,3",0,0,0,0,0,0,0,17,0,1,3,0,262,"0,412","1,26","1,11",0,320,0
8/26/2016,51650,51534,1126,"113,4",0,0,0,30,"50,3",0,0,0,40,0,1,2,0,"394,5","0,62",1,1,0,320,0
7/14/2016,43000,42990,1126,"114,8",0,0,0,"26,8",0,0,0,0,40,0,1,2,0,"456,2","0,717",1,"0,96",0,320,0
9/8/2016,49500,49481,1121,"126,6",0,0,0,0,0,0,1,0,40,1,1,2,0,331,"0,52","0,91",1,0,320,15
9/18/2016,52000,51965,1121,"187,1","65,1",0,0,"27,2",0,0,1,0,40,0,1,3,0,510,"0,802","0,98",1,0,320,0
9/25/2016,9500,9500,1126,41,41,0,0,0,0,0,0,0,40,0,1,2,0,"213,7","0,336","0,81","0,89",0,320,0
9/25/2016,54000,53990,1126,"172,9",0,0,0,32,0,0,0,0,40,0,1,4,0,"882,3","1,387","0,8","0,96",0,320,0
9/23/2016,53000,52618,1111,"173,2",42,0,0,"39,3",0,0,1,0,40,1,"1,075",2,0,975,"1,533","1,04","1,05",0,320,0
9/19/2016,69700,68560,1121,"193,1","71,1",0,0,"27,2",0,0,1,0,40,0,1,3,0,441,"0,693","0,98",1,0,320,0
10/7/2016,30700,30676,1126,"80,3",0,0,0,0,0,0,0,0,40,0,1,2,0,"250,4","0,394",1,"1,11",0,320,0
10/12/2016,58900,58594,1111,"131,1",0,0,0,0,0,0,0,0,40,0,"1,138",4,0,456,"0,717","1,11","0,89",0,320,15
10/19/2016,64500,63454,1121,"186,6","64,6",0,0,"27,7",0,0,1,0,40,0,1,3,0,445,"0,7","0,95",1,0,320,0
10/15/2016,50000,49624,1121,"128,4","25,6",0,0,"18,6",0,0,0,1,35,0,1,2,0,318,"0,5","1,12","0,96",0,320,0
10/16/2016,39000,38891,1126,"118,2",0,0,0,"37,4",0,0,1,0,40,0,1,2,0,207,"0,325","0,87","0,96",0,320,0
10/9/2016,55000,54943,1121,"240,1","120,8",0,0,"26,4",0,0,1,0,40,0,1,3,0,337,"0,53","1,06","0,96",1,320,0
10/29/2016,70000,69905,1111,"257,2","90,1",72,0,25,0,0,0,1,34,0,"1,102",5,0,447,"0,703","1,02","1,05",0,320,0
10/27/2016,88500,88386,1111,241,"96,3",0,0,"47,3",0,0,1,0,40,0,"1,078",5,0,624,"0,981","1,07","1,11",0,320,15
11/4/2016,41900,41636,1126,"87,9",0,0,0,"26,4",0,0,0,0,29,0,1,2,0,126,"0,198","0,96","1,11",0,320,0
10/30/2016,54000,53856,1126,"124,2",0,0,0,30,"72,1",0,1,0,40,0,1,2,0,"501,5","0,789",1,1,0,320,0
10/30/2016,63500,62204,1111,"186,3","63,3",0,0,"28,1",0,0,1,0,40,1,"1,094",2,0,900,"1,415","0,93","0,94",0,320,0
11/25/2016,71800,70245,1111,"237,6","70,5",72,0,28,0,0,0,1,33,0,"1,148",5,0,498,"0,783","1,02","1,04",0,320,0
11/26/2016,72900,72498,1125,"234,8","90,2","57,6",0,"31,8",0,0,0,1,33,0,1,5,0,304,"0,478","0,94","1,02",0,320,0
11/26/2016,32000,31979,1126,"100,8",0,0,"1,4",0,"7,4",0,0,0,40,0,1,2,0,283,"0,445",1,1,0,320,0
11/26/2016,58500,58075,1111,"130,9",0,0,0,0,0,0,0,0,40,0,"1,053",2,0,453,"0,712","1,33",1,0,320,15
12/9/2016,45000,44739,1126,"119,1",0,0,0,"32,4",0,0,0,0,40,0,1,2,0,412,"0,648","1,04","0,96",0,320,63
12/17/2016,70500,70445,1111,202,100,0,0,34,0,0,1,0,36,0,"1,02",4,0,513,"0,807","1,19",1,0,320,0
12/15/2016,38000,37919,1126,"106,2",0,0,0,0,0,0,0,0,40,0,1,2,0,289,"0,454",1,1,0,320,0
12/17/2016,33000,32986,1126,75,0,0,0,36,0,0,0,0,40,0,1,2,0,"276,6","0,435",1,1,0,320,0
12/15/2016,31000,30997,1126,"91,3",0,0,0,0,0,0,0,0,40,0,1,2,0,"269,7","0,424",1,"0,89",0,320,0
12/21/2016,52500,52407,1111,"120,5",0,0,0,"33,5",0,0,0,0,40,1,"1,107",2,0,500,"0,786","1,19",1,0,320,0
